model_name,stimuli_name,neural_response_shape,layer_name,ceiling_score,brain_score_std,brain_score
resnet10t.c3_in1k,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.010233114,0.525392285
vit_tiny_patch16_224.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.021999123,0.480949341
resnet14t.c3_in1k,MajajHong2015public,"(3200, 168)",layer4.0.act3,0.815799356,0.010084687,0.514373653
pit_xs_distilled_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1_1,0.815799356,0.011023094,0.543570865
focalnet_tiny_lrf.ms_in1k,MajajHong2015public,"(3200, 168)",layers.3.blocks.0.norm2,0.815799356,0.010450405,0.5407998
dla102.in1k,MajajHong2015public,"(3200, 168)",level4.tree2.tree2.tree2,0.815799356,0.01453683,0.540337095
twins_pcpvt_large.in1k,MajajHong2015public,"(3200, 168)",pos_block.3.proj.0,0.815799356,0.012968392,0.496633085
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.6.norm2,0.815799356,0.019564019,0.484876584
resnet152.a3_in1k,MajajHong2015public,"(3200, 168)",layer3.20.act3,0.815799356,0.010970518,0.523996775
dla169.in1k,MajajHong2015public,"(3200, 168)",level4.tree1.tree2.tree2.tree1.root,0.815799356,0.013213765,0.513485076
resnet18.a3_in1k,MajajHong2015public,"(3200, 168)",layer4.0.conv1,0.815799356,0.019163582,0.487112377
resnet18.fb_ssl_yfcc100m_ft_in1k,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.015493439,0.534406134
dla34.in1k,MajajHong2015public,"(3200, 168)",level5.tree1,0.815799356,0.011904827,0.545211429
resnet18.fb_swsl_ig1b_ft_in1k,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.013721144,0.529504
twins_pcpvt_small.in1k,MajajHong2015public,"(3200, 168)",pos_block.3.proj.0,0.815799356,0.011802009,0.518424538
resnet18.tv_in1k,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.011035561,0.527738333
dla46_c.in1k,MajajHong2015public,"(3200, 168)",level5.tree1.relu,0.815799356,0.011915228,0.521162393
resnet34.a3_in1k,MajajHong2015public,"(3200, 168)",layer3.5.drop_block,0.815799356,0.01544928,0.486058661
dla60.in1k,MajajHong2015public,"(3200, 168)",level5.tree1.conv2,0.815799356,0.01846859,0.506301938
poolformer_m36.sail_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.10.mlp.drop1,0.815799356,0.011357425,0.54050958
resnet50.a1h_in1k,MajajHong2015public,"(3200, 168)",layer4.1.act3,0.815799356,0.011584322,0.533552127
resnet50.a3_in1k,MajajHong2015public,"(3200, 168)",layer4.1.act3,0.815799356,0.014085998,0.529642167
hrnet_w18_small_v2.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.1.branches.3.1,0.815799356,0.014842522,0.496580217
vit_large_patch16_224.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.12.mlp.drop1,0.815799356,0.014061383,0.548184091
poolformer_s12.sail_in1k,MajajHong2015public,"(3200, 168)",stages.3.downsample.norm,0.815799356,0.011566376,0.524229832
twins_svt_base.in1k,MajajHong2015public,"(3200, 168)",blocks.2.7,0.815799356,0.011123329,0.532143712
resnet50.am_in1k,MajajHong2015public,"(3200, 168)",layer4.1.act3,0.815799356,0.011228832,0.554395428
resnet50.tv_in1k,MajajHong2015public,"(3200, 168)",layer4.1.act3,0.815799356,0.01067987,0.550780915
dpn107.mx_in1k,MajajHong2015public,"(3200, 168)",features.conv4_17.c1x1_a.bn.act,0.815799356,0.013484781,0.563216601
resnet50d.a3_in1k,MajajHong2015public,"(3200, 168)",layer4.1,0.815799356,0.014859603,0.539578454
twins_svt_small.in1k,MajajHong2015public,"(3200, 168)",blocks.3.1,0.815799356,0.013363803,0.515321287
vgg11_bn.tv_in1k,MajajHong2015public,"(3200, 168)",features.23,0.815799356,0.01308902,0.461192531
poolformer_s24.sail_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.2.res_scale1,0.815799356,0.012420672,0.527122156
vgg11.tv_in1k,MajajHong2015public,"(3200, 168)",pre_logits.act1,0.815799356,0.013996191,0.583403026
vgg13_bn.tv_in1k,MajajHong2015public,"(3200, 168)",features.23,0.815799356,0.012683419,0.465750215
hrnet_w18_small.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0.branches.3.1.act1,0.815799356,0.014457469,0.504413905
vgg13.tv_in1k,MajajHong2015public,"(3200, 168)",features.23,0.815799356,0.009399218,0.497043206
resnetrs50.tf_in1k,MajajHong2015public,"(3200, 168)",layer2.3.act3,0.815799356,0.010952312,0.473638218
vgg16_bn.tv_in1k,MajajHong2015public,"(3200, 168)",pre_logits.fc2,0.815799356,0.013502299,0.55718156
resnet18.gluon_in1k,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.012430029,0.531573164
vgg16.tv_in1k,MajajHong2015public,"(3200, 168)",features.23,0.815799356,0.012106572,0.493272893
vgg19_bn.tv_in1k,MajajHong2015public,"(3200, 168)",features.48,0.815799356,0.013842325,0.513812586
resnet34.gluon_in1k,MajajHong2015public,"(3200, 168)",layer4.1.conv2,0.815799356,0.011999266,0.502743318
vgg19.tv_in1k,MajajHong2015public,"(3200, 168)",features.23,0.815799356,0.012962252,0.455943648
rexnet_100.nav_in1k,MajajHong2015public,"(3200, 168)",features.13.act_dw,0.815799356,0.01323493,0.519275057
visformer_small.in1k,MajajHong2015public,"(3200, 168)",stage2.3.mlp.drop3,0.815799356,0.01705688,0.50631184
poolformer_s36.sail_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.16.token_mixer.pool,0.815799356,0.012667726,0.526527074
visformer_tiny.in1k,MajajHong2015public,"(3200, 168)",stage3.3,0.815799356,0.004268003,0.469926677
rexnet_130.nav_in1k,MajajHong2015public,"(3200, 168)",features.9.conv_dw.bn.drop,0.815799356,0.011110169,0.522629467
vit_large_patch16_384.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.12.mlp.drop1,0.815799356,0.012711239,0.555630458
dpn131.mx_in1k,MajajHong2015public,"(3200, 168)",features.conv4_28.c1x1_a.bn.drop,0.815799356,0.011924356,0.55860475
rexnet_150.nav_in1k,MajajHong2015public,"(3200, 168)",features.9.conv_dw.bn.drop,0.815799356,0.012911724,0.521420382
dpn68.mx_in1k,MajajHong2015public,"(3200, 168)",features.conv5_2.c1x1_a.bn,0.815799356,0.01323969,0.534422794
volo_d1_384.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.4.norm1,0.815799356,0.014943467,0.539494238
rexnet_200.nav_in1k,MajajHong2015public,"(3200, 168)",features.9.conv_dw.bn.drop,0.815799356,0.009842832,0.525746191
dpn68b.mx_in1k,MajajHong2015public,"(3200, 168)",features.conv5_1.c1x1_w_s2.bn.act,0.815799356,0.014322954,0.541466172
poolformerv2_m36.sail_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.0.norm2,0.815799356,0.011241052,0.525115337
rexnet_300.nav_in1k,MajajHong2015public,"(3200, 168)",features.10.se,0.815799356,0.013333564,0.533382736
skresnet18.ra_in1k,MajajHong2015public,"(3200, 168)",layer4.1,0.815799356,0.007583554,0.492573673
poolformerv2_s12.sail_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.0.mlp.drop1,0.815799356,0.014509414,0.54695289
dpn92.mx_in1k,MajajHong2015public,"(3200, 168)",features.conv4_19.c1x1_a.bn,0.815799356,0.008323209,0.553535361
vit_large_r50_s32_384.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.14.mlp.drop1,0.815799356,0.011558515,0.551065568
skresnet34.ra_in1k,MajajHong2015public,"(3200, 168)",layer3.4,0.815799356,0.010460928,0.494750201
volo_d2_384.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.9.norm2,0.815799356,0.013204975,0.54715124
hrnet_w18.ms_in1k,MajajHong2015public,"(3200, 168)",final_layer,0.815799356,0.013489328,0.510086012
dpn98.mx_in1k,MajajHong2015public,"(3200, 168)",features.conv4_20.c1x1_a.bn.act,0.815799356,0.007190796,0.552306662
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.9.attn.qkv,0.815799356,0.014864307,0.504688994
efficientformer_l1.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.4.norm1,0.815799356,0.013887526,0.523831619
poolformerv2_s24.sail_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.1.token_mixer.pool,0.815799356,0.01066635,0.528279345
efficientformer_l3.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.5.mlp.fc1,0.815799356,0.01101269,0.52466833
volo_d3_224.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.0,0.815799356,0.014273704,0.547159356
vit_relpos_base_patch16_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.10.norm2,0.815799356,0.009788911,0.534865151
tinynet_b.in1k,MajajHong2015public,"(3200, 168)",blocks.5.0.bn2.act,0.815799356,0.00748385,0.521432781
poolformerv2_s36.sail_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.4.res_scale1,0.815799356,0.008951649,0.518684543
efficientformer_l7.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.4.token_mixer.proj,0.815799356,0.010637492,0.519937421
tinynet_c.in1k,MajajHong2015public,"(3200, 168)",blocks.5.0.bn2.act,0.815799356,0.016309715,0.508898692
pvt_v2_b0.in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.1.mlp.relu,0.815799356,0.009485041,0.448046054
vit_relpos_base_patch16_clsgap_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.10.norm2,0.815799356,0.01211867,0.54548971
edgenext_xx_small.in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.1.mlp.act,0.815799356,0.010892421,0.51312069
pvt_v2_b1.in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.1.mlp.relu,0.815799356,0.010399895,0.503836433
volo_d4_224.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.12.norm2,0.815799356,0.01198741,0.555962431
ghostnet_100.in1k,MajajHong2015public,"(3200, 168)",blocks.9.0.bn1,0.815799356,0.011086888,0.517835604
spnasnet_100.rmsp_in1k,MajajHong2015public,"(3200, 168)",blocks.5.3.bn2.drop,0.815799356,0.013176158,0.544009648
vit_relpos_medium_patch16_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.9,0.815799356,0.016315045,0.519344773
efficientformerv2_l.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.1.mlp.fc1,0.815799356,0.016711513,0.525133956
resnet18_l2_eps0.01,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.009283675,0.539346445
resnet18_l2_eps0.03,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.010580153,0.517149845
resnet18_l2_eps0.05,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.011989451,0.522990526
pvt_v2_b2_li.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.5.mlp.dwconv,0.815799356,0.017995955,0.505845798
resnet18_l2_eps0.1,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.010427385,0.528451052
resnet18_l2_eps0.25,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.012462564,0.534559521
efficientformerv2_s0.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.0.mlp.fc1.bn.act,0.815799356,0.013701909,0.518038462
resnet18_l2_eps0.5,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.015906567,0.536758121
resnet18_l2_eps1,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.01199999,0.539924023
resnet18_l2_eps3,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.013181082,0.5172837
resnet18_l2_eps5,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.014855152,0.505038166
vit_relpos_medium_patch16_cls_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.5.norm2,0.815799356,0.014151587,0.504071311
resnet50_l2_eps0.01,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.01273325,0.524829539
pvt_v2_b2.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.5.mlp.act,0.815799356,0.01069608,0.518451445
efficientformerv2_s1.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.0.mlp.mid.bn.act,0.815799356,0.011573885,0.541460744
resnet50_l2_eps0.03,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.015488538,0.530582432
hrnet_w30.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0_3,0.815799356,0.019753487,0.512360614
resnet50_l2_eps0.05,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.013767081,0.529109807
resnet50_l2_eps0.1,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.015953332,0.531440009
volo_d5_224.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.0.mlp.fc1,0.815799356,0.014174538,0.554931292
vit_relpos_medium_patch16_rpn_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.8.mlp.act,0.815799356,0.01572427,0.524852661
resnet50_l2_eps0.25,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.016565133,0.529494463
efficientformerv2_s2.snap_dist_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.11.mlp.mid.bn.act,0.815799356,0.011594729,0.527869581
resnet50_l2_eps0.5,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.01507509,0.534560195
pvt_v2_b3.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.12.norm1,0.815799356,0.014292258,0.521897121
efficientnet_b0.ra_in1k,MajajHong2015public,"(3200, 168)",blocks.5.0.bn2.act,0.815799356,0.010886154,0.521004263
resnet50_l2_eps1,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.014692847,0.529992711
volo_d1_224.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.4.norm1,0.815799356,0.011341953,0.538346214
vit_relpos_small_patch16_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.9,0.815799356,0.016565935,0.498327621
efficientnet_es_pruned.in1k,MajajHong2015public,"(3200, 168)",blocks.4.2.bn2.drop,0.815799356,0.008318932,0.530005289
resnet50_l2_eps3,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.01798006,0.515336997
efficientnet_es.ra_in1k,MajajHong2015public,"(3200, 168)",blocks.4.2.bn2.drop,0.815799356,0.011004332,0.540760671
resnet50_l2_eps5,MajajHong2015public,"(3200, 168)",layer4.0.conv2,0.815799356,0.017344315,0.498902173
efficientnet_lite0.ra_in1k,MajajHong2015public,"(3200, 168)",blocks.5.3.bn2.drop,0.815799356,0.009279248,0.538208031
volo_d2_224.sail_in1k,MajajHong2015public,"(3200, 168)",network.3.9.norm2,0.815799356,0.01137228,0.541521049
pvt_v2_b4.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.15.norm2,0.815799356,0.015414558,0.515723154
hrnet_w32.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0_3,0.815799356,0.012321004,0.513513438
xcit_medium_24_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.17.norm3,0.815799356,0.014284107,0.527322252
xcit_nano_12_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.6,0.815799356,0.019023077,0.455802426
xcit_small_12_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.9.local_mp,0.815799356,0.013282996,0.509202055
pvt_v2_b5.in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.22.norm2,0.815799356,0.01428747,0.517230501
hrnet_w40.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0_3,0.815799356,0.010968798,0.519807344
regnetx_004_tv.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b7.conv1.bn.drop,0.815799356,0.013919472,0.504426557
xcit_small_24_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.17.norm3,0.815799356,0.014547307,0.526437489
regnetx_008.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv2.bn,0.815799356,0.011511183,0.516978836
xcit_tiny_12_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.6,0.815799356,0.013039898,0.489597362
regnetx_016.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv2.bn,0.815799356,0.011612278,0.541597887
regnety_004.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv1.bn,0.815799356,0.015859457,0.500584483
hrnet_w44.ms_in1k,MajajHong2015public,"(3200, 168)",stage4.0_3,0.815799356,0.015973275,0.527932484
xcit_tiny_24_p8_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.12.mlp.drop1,0.815799356,0.013723672,0.511916588
regnety_008_tv.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv1.bn,0.815799356,0.01447358,0.51052844
regnety_016.tv2_in1k,MajajHong2015public,"(3200, 168)",s4.b1.conv1.bn,0.815799356,0.009722653,0.511952254