model_name,model_type,ImageNet-top1,MajajHong2015.IT-pls,vision_or_VLM
vonegrcnn_52e_full,RNN,0.703,0.569,vision
vonegrcnn_62e_nobn,RNN,0.702,0.566,vision
custom_model_cv_18_dagger_408,CNN,0.641,0.561,vision
effnetb1_cutmixrespatch_SAM_robust32_e2_manylayers_324x288,Adversarial,0.402,0.56,vision
effnetb1_cutmixrespatch_SAM_robust32_e10_manylayers_324x288,Adversarial,0.414,0.56,vision
effnetb1_cutmixpatch_SAM_robust32_avge6e8e9e10_manylayers_324x288,Adversarial,0.437,0.56,vision
ReAlnet10_cornet,RNN,0.641,0.559,vision
AdvProp_efficientnet-b4,CNN,0.718,0.559,vision
AT_efficientnet-b4,CNN,0.718,0.559,vision
ReAlnet03_cornet,RNN,0.644,0.558,vision
effnetb1_cutmix_augmix_sam_e1_5avg_424x377,CNN,0.583,0.556,vision
ReAlnet08_cornet,RNN,0.644,0.555,vision
ReAlnet07_cornet,RNN,0.644,0.555,vision
resnet-50_v1-tf,CNN,0.752,0.555,vision
shufflenet_v2_x1_0,CNN,0.643,0.554,vision
ReAlnet05_cornet,RNN,0.646,0.554,vision
mobilenet_v2_1.4_224-tf,CNN,0.75,0.554,vision
antialiased-rnext101_32x8d,CNN,0.757,0.554,vision
ReAlnet02_cornet,RNN,0.642,0.553,vision
AdvProp_efficientnet-b6,CNN,0.741,0.553,vision
resnet-152_v1-tf,CNN,0.768,0.553,vision
ReAlnet09_cornet,RNN,0.644,0.552,vision
ReAlnet01_cornet,RNN,0.645,0.552,vision
ReAlnet06_cornet,RNN,0.648,0.552,vision
resnet50_robust_l2_eps1,Adversarial,0.671,0.552,vision
AdvProp_efficientnet-b2,CNN,0.739,0.552,vision
resnet50-SIN_IN,CNN,0.746,0.552,vision
nasnet_mobile,CNN,0.706,0.551,vision
mobilenet_v2_0.75_192-tf,CNN,0.687,0.55,vision
mobilenet_v2_1.0_160-tf,CNN,0.688,0.55,vision
AT_efficientnet-b2,CNN,0.739,0.55,vision
ReAlnet04_cornet,RNN,0.648,0.549,vision
voneresnet-50-robust,Adversarial,0.653,0.549,vision
mobilenet_v1_1.0_160,CNN,0.68,0.549,vision
efficientnet_b1_imagenet_full,CNN,0.684,0.549,vision
resnet-101_v1-tf,CNN,0.764,0.549,vision
densenet-169-keras,CNN,0.759,0.548,vision
resnet50-moclr8deg,CNN,0.647,0.547,vision
mobilenet_v2_0.75_160-tf,CNN,0.664,0.547,vision
mobilenet_v2_1.0_192-tf,CNN,0.707,0.547,vision
AdvProp_efficientnet-b7,Adversarial,0.751,0.547,vision
efficientnet_b2_imagenet_full,CNN,0.697,0.546,vision
mobilenet_v1_1.0_224,CNN,0.709,0.546,vision
densenet-169,CNN,0.718,0.546,vision
mobilenet_v2_1.0_224-tf,CNN,0.718,0.546,vision
antialiased-r50,CNN,0.732,0.545,vision
resnet50-SIN_IN_IN,CNN,0.767,0.545,vision
densenet-201-keras,CNN,0.772,0.545,vision
inception_v3-tf,CNN,0.78,0.545,vision
densenet-201,CNN,0.722,0.544,vision
mobilenet_v1_1.0_192,CNN,0.7,0.543,vision
voneresnet-50-non_stochastic,CNN,0.702,0.543,vision
efficientnet-b7,CNN,0.726,0.543,vision
mobilenet_v2_1.3_224-tf,CNN,0.744,0.543,vision
inception_resnet_v2,CNN,0.804,0.543,vision
effnetb1_cutmixpatch_augmix_robust32_e5_324x288,Adversarial,0.471,0.542,vision
resnet50_l2_3_robust,Adversarial,0.568,0.542,vision
mobilenet_v2_0.75_128,CNN,0.632,0.541,vision
mobilenet_v2_1_0_192,CNN,0.648,0.541,vision
efficientnet_b0_imagenet_full,CNN,0.681,0.541,vision
CORnet-S,RNN,0.692,0.541,vision
inception_v3,CNN,0.735,0.541,vision
vit_relpos_base_patch16_clsgap_224:sw_in1k,ViT,0.792,0.541,vision
nasnet_large-tf,CNN,0.827,0.541,vision
AdvProp_efficientnet-b8,Adversarial,0.63,0.54,vision
AdvProp_efficientnet-b0,Adversarial,0.724,0.54,vision
effnetb1_cutmixpatch_augmix_robust32_avge4e7_manylayers_324x288,Adversarial,0.476,0.539,vision
resnet_50_v1,CNN,0.718,0.539,vision
resnet50-sup,CNN,0.722,0.539,vision
inception_v2-tf,CNN,0.739,0.539,vision
resnet50_moco_v2,CNN,0.622,0.536,vision
nasnet_mobile-tf,CNN,0.74,0.536,vision
focalnet_tiny_lrf_in1k,CNN,0.781,0.536,vision
mobilenet_v2_0_75_192,CNN,0.628,0.535,vision
mobilenet_v1_1.0_128,CNN,0.652,0.535,vision
mobilenet_v1_0.75_192,CNN,0.672,0.535,vision
mobilenet_v1_0.75_224,CNN,0.684,0.535,vision
mobilenet_v2_0.75_224-tf,CNN,0.698,0.535,vision
convnext_tiny_sup,CNN,0.78,0.535,vision
resnet50-SIN,CNN,0.602,0.534,vision
mobilenet_v2_1.0_128-tf,CNN,0.653,0.534,vision
BiT-S-R50x3,CNN,0.723,0.534,vision
mobilenet_v2_0.5_224-tf,CNN,0.654,0.533,vision
densenet-121,CNN,0.697,0.533,vision
BiT-S-R50x1,CNN,0.708,0.533,vision
densenet-121-keras,CNN,0.745,0.533,vision
resnet_SIN_IN_FT_IN,CNN,0.731,0.532,vision
convnext_tiny_imagenet_full_seed-0,CNN,0.777,0.532,vision
resnet-152_v2-tf,CNN,0.778,0.532,vision
0.5x_resnet-18_LC_w_sh_1_iter,CNN,0.566,0.531,vision
resnet-18,CNN,0.698,0.531,vision
Res2Net50_26w_4s,CNN,0.748,0.531,vision
effnetb1_272x240,CNN,0.777,0.53,vision
convnext_small_imagenet_full_seed-0,CNN,0.793,0.53,vision
convnext_base_imagenet_full_seed-0,CNN,0.798,0.53,vision
mobilenet_v2_0.5_192-tf,CNN,0.639,0.529,vision
mobilenet_v1_0.75_160,CNN,0.653,0.529,vision
vonegrcnn_47e,RNN,0.699,0.529,vision
mobilenet_v2_0.5_160,CNN,0.61,0.528,vision
convnext_base:clip_laiona_augreg_ft_in1k_384,CNN,0.841,0.528,VLM
mobilenet_v2_1-4_224_pytorch,CNN,0.538,0.527,vision
convnext_femto_ols:d1_in1k,CNN,0.729,0.527,vision
efficientnet_b0,CNN,0.733,0.527,vision
resnet-101_v2-tf,CNN,0.774,0.527,vision
convnext_large:fb_in22k_ft_in1k,CNN,0.851,0.527,vision
inception_v4-tf,CNN,0.802,0.526,vision
pnasnet_large-tf,CNN,0.829,0.526,vision
mobilenet_v2_0.5_128,CNN,0.577,0.525,vision
convnext_large_imagenet_full_seed-0,CNN,0.799,0.525,vision
resnet50-vitoimagevidnet8,CNN,0.615,0.523,vision
mobilenet_v2_0_5_224,CNN,0.616,0.523,vision
convnext_xlarge:fb_in22k_ft_in1k,CNN,0.853,0.523,vision
antialias-resnet152,CNN,0.758,0.522,vision
mobilenet_v1_0.5_224,CNN,0.633,0.521,vision
resnet50_robust_l2_eps3,Adversarial,0.533,0.52,vision
mobilenet_v2_0_5_192,CNN,0.592,0.52,vision
mobilenet_v1_0.5_192,CNN,0.617,0.52,vision
resnet-50_v2-tf,CNN,0.756,0.52,vision
resnet101,CNN,0.744,0.519,vision
resnet50_finetune_cutmix_e3_robust_linf8255_e0_247x234,Adversarial,0.403,0.518,vision
mobilenet_v2_0.35_192,CNN,0.582,0.518,vision
vgg-16-keras,CNN,0.715,0.518,vision
resnet-50-pytorch,CNN,0.752,0.518,vision
mobilenet_v2_0.35_160,CNN,0.557,0.517,vision
resnet50_tutorial,CNN,0.718,0.517,vision
vit_relpos_base_patch32_plus_rpn_256:sw_in1k,ViT,0.76,0.517,vision
mobilenet_v2_0.75_96,CNN,0.588,0.516,vision
convnext_tiny:in12k_ft_in1k,CNN,0.805,0.516,vision
resnet50_finetune_cutmix_AVGe2e3_robust_linf8255_e0_247x234,Adversarial,0.413,0.515,vision
CLIP-RN50,CNN,0.526,0.515,VLM
BiT-S-R152x4,CNN,0.735,0.515,vision
deit_large_imagenet_full_seed-0,ViT,0.795,0.515,vision
mobilenet_v2_1.0_96,CNN,0.603,0.514,vision
cv_18_dagger_408_pretrained,CNN,0.74,0.513,vision
resnext101_32x48d_wsl,CNN,0.822,0.513,vision
fixres_resnext101_32x48d_wsl,CNN,0.863,0.513,vision
resnet50_simclr,CNN,0.507,0.512,vision
resnet50-VITO-8deg-cc,CNN,0.616,0.512,vision
vgg_16,CNN,0.67,0.512,vision
resnet50,CNN,0.729,0.51,vision
resnet_50_v2,CNN,0.758,0.51,vision
alexnet_ks_torevert,CNN,0.519,0.508,vision
alexnet,CNN,0.519,0.508,vision
alexnet-baseline,CNN,0.519,0.508,vision
alexnet,CNN,0.519,0.508,vision
alexnet,CNN,0.519,0.508,vision
alexnet,CNN,0.577,0.508,vision
ReAlnet10,CNN,0.641,0.508,vision
ReAlnet02,CNN,0.642,0.507,vision
ReAlnet07,CNN,0.644,0.507,vision
deit_base_imagenet_full_seed-0,ViT,0.777,0.507,vision
resnext101_32x32d_wsl,CNN,0.854,0.507,vision
mobilenet_v2_0.35_224,CNN,0.603,0.506,vision
ReAlnet08,CNN,0.644,0.506,vision
mobilenet_v1_0.75_128,CNN,0.621,0.505,vision
BiT-S-R101x3,CNN,0.73,0.505,vision
vit_base_patch16_clip_224:openai_ft_in12k_in1k,ViT,0.828,0.505,VLM
mobilenet_v1_0.5_160,CNN,0.591,0.503,vision
ReAlnet06,CNN,0.648,0.503,vision
resnet_101_v2,CNN,0.776,0.503,vision
ReAlnet04,CNN,0.648,0.502,vision
alexnet_random_linf8_perturb,CNN,0.548,0.501,vision
ReAlnet09,CNN,0.644,0.501,vision
ReAlnet03,CNN,0.644,0.501,vision
vit_large_patch14_clip_224:laion2b_ft_in12k_in1k,ViT,0.852,0.501,VLM
ReAlnet_incorrect,CNN,0.645,0.499,vision
ReAlnet01,CNN,0.645,0.499,vision
BiT-S-R101x1,CNN,0.72,0.499,vision
resnext101_32x16d_wsl,CNN,0.851,0.499,vision
ReAlnet05,CNN,0.646,0.498,vision
xception-keras,CNN,0.79,0.498,vision
resnet50_linf_8_robust,Adversarial,0.463,0.496,vision
vgg-19-keras,CNN,0.711,0.496,vision
alexnet,CNN,0.538,0.495,vision
resnet50_imagenet_100_seed-0,CNN,0.419,0.494,vision
SWSL_resnext101_32x8d,CNN,0.827,0.494,vision
regnet_y_400mf,CNN,0.687,0.493,vision
vit_large_patch14_clip_224:openai_ft_in12k_in1k,ViT,0.845,0.493,VLM
imagenet_l2_3_0,Adversarial,0.533,0.492,vision
inception_v1-tf,CNN,0.698,0.488,vision
cvt_cvt-w24-384-in22k_finetuned-in1k_4,ConvViT,0.835,0.488,vision
deit_small_imagenet_full_seed-0,ViT,0.75,0.487,vision
resnet-50-robust,Adversarial,0.533,0.486,vision
vit_large_patch14_clip_224:laion2b_ft_in1k,ViT,0.845,0.485,VLM
vit_large_patch14_clip_224:openai_ft_in1k,ViT,0.85,0.485,VLM
inception_v1,CNN,0.662,0.483,vision
vit_tiny_r_s16_p8_384:augreg_in21k_ft_in1k,ViT,0.715,0.483,vision
vit_base_patch16_clip_224:openai_ft_in1k,ViT,0.828,0.482,VLM
resnext101_32x8d_wsl,CNN,0.842,0.481,vision
mobilenet_v1_0.25_224,CNN,0.498,0.48,vision
mobilenet_v2_0.5_96,CNN,0.512,0.479,vision
grcnn,CNN,0.732,0.477,vision
cvt_cvt-13-224-in1k_4_LucyV4,ConvViT,0.764,0.477,vision
blt_vs,ViT,0.663,0.475,vision
cvt_cvt-13-384-in22k_finetuned-in1k_4_LucyV4,ConvViT,0.749,0.475,vision
resnet-34,CNN,0.733,0.474,vision
swin_small_patch4_window7_224:ms_in22k_ft_in1k,ViT,0.809,0.473,vision
alexnet_early_checkpoint,CNN,0.5,0.472,vision
vgg_19,CNN,0.675,0.472,vision
mobilenet_v2_0.35_128,CNN,0.508,0.47,vision
grcnn_109,CNN,0.745,0.47,vision
BiT-S-R152x2,CNN,0.728,0.469,vision
mobilenet_v1_0.5_128,CNN,0.563,0.467,vision
cvt_cvt-13-384-in1k_4_LucyV4,ConvViT,0.774,0.465,vision
cvt_cvt-21-224-in1k_4_LucyV4,ConvViT,0.766,0.464,vision
mobilenet_v2_0.35_96,CNN,0.455,0.46,vision
squeezenet1_0,CNN,0.575,0.459,vision
cvt_cvt-21-384-in1k_4_LucyV4,ConvViT,0.762,0.459,vision
cvt_cvt-21-384-in22k_finetuned-in1k_4_LucyV4,ConvViT,0.766,0.458,vision
mobilenet_v1_0.25_160,CNN,0.455,0.457,vision
squeezenet1_1,CNN,0.575,0.457,vision
AlexNet_SIN,CNN,0.34,0.455,vision
ViT_L_32_imagenet1k,ViT,0.744,0.454,vision
mobilenet_v1_0.25_192,CNN,0.477,0.451,vision
resnet-152_v2_pytorch,CNN,0.775,0.449,vision
CORnet-Z,RNN,0.47,0.447,vision
alexnet_l2_3_robust,Adversarial,0.399,0.436,vision
convnext_small_imagenet_100_seed-0,CNN,0.535,0.434,vision
alexnet_robust_correct,Adversarial,0.355,0.432,vision
mobilenet_v1_0.25_128,CNN,0.415,0.425,vision
imagenet_l2_10_0,Adversarial,0.36,0.411,vision
bagnet9,CNN,0.26,0.401,vision
alexnet_linf_8_robust,Adversarial,0.283,0.382,vision
deit_small_imagenet_100_seed-0,ViT,0.293,0.307,vision