model_name,SanghaviJozwik2020.V4-pls,Sanghavi2020.V4-pls,SanghaviMurty2020.V4-pls,MajajHong2015.V4-pls,ImageNet-top1,new_brain_score,new_brain_score_average
SWSL_resnext101_32x8d,0.511,0.636,0.157,0.56,0.827,0.56,0.466
SWSL_resnet50,0.524,0.653,0.184,0.58,,0.58,0.48525
yudixie_resnet50_distance_translation_rotation_0_240908,0.43,0.597,0.158,0.568,X,0.568,0.43825
CLIP_ViT-B_32,0.487,0.62,0.229,0.545,,0.545,0.47025
convnext_small_imagenet_10_seed-0,0.069,0.136,0.042,0.098,0.007,0.098,0.08625
resnet50_finetune_cutmix_e3_robust_linf8255_e0_247x234,0.477,0.642,0.201,0.567,0.403,0.567,0.47175
CLIP_resnet50,0.487,0.62,0.203,0.57,,0.57,0.47
CLIP_resnet50_float32,0.487,0.62,0.203,0.57,,0.57,0.47
resnet-152_v2-tf,0.469,0.635,0.247,0.591,0.778,0.591,0.4855
yudixie_resnet18_random_0_240719,0.244,0.356,0.076,0.418,X,0.418,0.2735
yudixie_resnet50_distance_rotation_0_240908,0.429,0.596,0.156,0.568,X,0.568,0.43725
pnasnet_large-tf,0.5,0.623,0.212,0.578,0.829,0.578,0.47825
nasnet_large-tf,0.48,0.627,0.198,0.585,0.827,0.585,0.4725
resnet-50_v2-tf,0.482,0.644,0.233,0.596,0.756,0.596,0.48875
nasnet_large,X,X,X,X,0.792,X,#DIV/0!
resnet-152_v1-tf,0.502,0.646,0.247,0.598,0.768,0.598,0.49825
resnet50_linf_4_robust,0.503,0.648,0.204,0.591,,0.591,0.4865
resnet101,0.502,0.633,0.18,0.593,0.744,0.593,0.477
yudixie_resnet18_distance_translation_rotation_0_240719,0.38,0.559,0.181,0.566,X,0.566,0.4215
densenet-201-keras,0.473,0.655,0.224,0.599,0.772,0.599,0.48775
antialiased-rnext101_32x8d,0.512,0.654,0.221,0.602,0.757,0.602,0.49725
resnet-101_v1-tf,0.506,0.648,0.229,0.59,0.764,0.59,0.49325
yudixie_resnet18_distance_rotation_0_240719,0.392,0.545,0.157,0.56,X,0.56,0.4135
resnet50,0.527,0.662,0.206,0.614,0.729,0.614,0.50225
inception_v3-tf,0.476,0.627,0.227,0.596,0.78,0.596,0.4815
resnet50_random_l2_perturb,0.526,0.652,0.2,0.601,,0.601,0.49475
densenet-169-keras,0.484,0.663,0.231,0.601,0.759,0.601,0.49475
resnet50_l2_3_robust,0.496,0.641,0.189,0.591,0.568,0.591,0.47925
resnet-50_v1-tf,0.495,0.65,0.208,0.594,0.752,0.594,0.48675
densenet-121-keras,0.492,0.662,0.214,0.595,0.745,0.595,0.49075
resnet50_random_linf8_perturb,0.511,0.653,0.208,0.605,,0.605,0.49425
inception_v4,X,X,X,X,0.761,X,#DIV/0!
vonegrcnn_62e_nobn,0.492,0.646,0.226,0.584,0.702,0.584,0.487
yudixie_resnet50_distance_reg_0_240908,0.414,0.597,0.15,0.56,X,0.56,0.43025
yudixie_resnet18_translation_rotation_0_240719,0.372,0.549,0.154,0.558,X,0.558,0.40825
yudixie_resnet50_rotation_reg_0_240908,0.406,0.573,0.146,0.568,X,0.568,0.42325
inception_v4-tf,0.48,0.608,0.198,0.574,0.802,0.574,0.465
yudixie_resnet18_distance_translation_0_240719,0.382,0.534,0.175,0.55,X,0.55,0.41025
yudixie_resnet50_translation_rotation_0_240908,0.429,0.597,0.163,0.563,X,0.563,0.438
vonegrcnn_52e_full,0.491,0.645,0.228,0.576,0.703,0.576,0.485
vonegrcnn_47e,0.49,0.645,0.233,0.58,0.699,0.58,0.487
inception_v2-tf,0.497,0.639,0.227,0.587,0.739,0.587,0.4875
CLIP-RN50,0.498,0.632,0.216,0.588,0.526,0.588,0.4835
CORnet-S,0.49,0.634,0.236,0.581,0.692,0.581,0.48525
yudixie_resnet50_translation_reg_0_240908,0.425,0.607,0.158,0.574,X,0.574,0.441
mobilenet_v2_1.4_224-tf,0.471,0.619,0.227,0.566,0.75,0.566,0.47075
resnet50_finetune_cutmix_AVGe2e3_robust_linf8255_e0_247x234,0.442,0.63,0.207,0.577,0.413,0.577,0.464
mobilenet_v2_1.0_224-tf,0.469,0.609,0.216,0.573,0.718,0.573,0.46675
vgg-16-keras,0.451,0.646,0.222,0.62,0.715,0.62,0.48475
resnet50_byol,0.489,0.612,0.163,0.56,,0.56,0.456
mobilenet_v2_1.3_224-tf,0.473,0.625,0.233,0.575,0.744,0.575,0.4765
vgg-19-keras,0.433,0.615,0.224,0.61,0.711,0.61,0.4705
inception_v1-tf,0.488,0.649,0.231,0.589,0.698,0.589,0.48925
resnet-101_v2-tf,0.479,0.632,0.248,0.599,0.774,0.599,0.4895
yudixie_resnet18_translation_reg_0_240719,0.37,0.545,0.172,0.558,X,0.558,0.41125
resnet50_moco_v2,0.496,0.631,0.178,0.58,0.622,0.58,0.47125
yudixie_resnet50_distance_translation_0_240908,0.427,0.6,0.159,0.578,X,0.578,0.441
resnet50_linf_8_robust,0.478,0.598,0.183,0.553,0.463,0.553,0.453
mobilenet_v2_0.75_192-tf,0.431,0.611,0.238,0.573,0.687,0.573,0.46325
resnet_152_v1,X,X,X,X,0.749,X,#DIV/0!
yudixie_resnet18_distance_reg_0_240719,0.379,0.548,0.169,0.555,X,0.555,0.41275
texture_shape_resnet50_trained_on_SIN,0.512,0.636,0.185,0.592,,0.592,0.48125
mobilenet_v2_0.75_224-tf,0.472,0.618,0.239,0.586,0.698,0.586,0.47875
mobilenet_v2_1.0_192-tf,0.439,0.614,0.252,0.572,0.707,0.572,0.46925
grcnn_robust_v1,0.469,0.617,0.246,0.595,,0.595,0.48175
mobilenet_v2_0.5_224-tf,0.456,0.601,0.217,0.569,0.654,0.569,0.46075
konkle_alexnetgn_ipcl_ref12_supervised_ipcl_aug,0.458,0.638,0.192,0.582,,0.582,0.4675
mobilenet_v2_1.0_160-tf,0.44,0.619,0.241,0.57,0.688,0.57,0.4675
nasnet_mobile-tf,0.488,0.609,0.194,0.566,0.74,0.566,0.46425
grcnn_v2_text_noise,0.473,0.631,0.243,0.597,,0.597,0.486
alexnet_l2_3_robust,0.434,0.562,0.192,0.498,0.399,0.498,0.4215
resnet-18-LC_w_sh_1_iter_conv_init_m,0.483,0.632,0.21,0.577,X,0.577,0.4755
yudixie_resnet18_rotation_reg_0_240719,0.36,0.535,0.152,0.548,X,0.548,0.39875
mobilenet_v2_0.5_192-tf,0.418,0.594,0.221,0.566,0.639,0.566,0.44975
resnet-18-LC_w_sh_10_iter_conv_init_m,0.486,0.631,0.206,0.566,X,0.566,0.47225
resnet50-simclr-vissl,0.481,0.614,0.214,0.565,,0.565,0.4685
resnet-18-LC_w_sh_100_iter_m,0.477,0.636,0.218,0.582,X,0.582,0.47825
cornet_s,0.491,0.619,0.166,0.581,,0.581,0.46425
mobilenet_v2_1.0_128-tf,0.45,0.631,0.176,0.569,0.653,0.569,0.4565
alexnet,0.438,0.617,0.17,0.55,0.519,0.55,0.44375
alexnet,0.438,0.617,0.17,0.55,,0.55,0.44375
alexnet-baseline,0.438,0.617,0.17,0.55,0.519,0.55,0.44375
alexnet,0.438,0.617,0.17,0.55,,0.55,0.44375
alexnet,0.438,0.617,0.17,0.55,0.519,0.55,0.44375
alexnet,0.438,0.617,0.17,0.55,0.519,0.55,0.44375
alexnet,0.438,0.617,0.17,0.55,,0.55,0.44375
alexnet,0.438,0.617,0.17,0.55,,0.55,0.44375
BiT-M-R101x3,0.461,0.645,0.205,0.584,,0.584,0.47375
inception_resnet_v2,0.48,0.639,0.226,0.583,0.804,0.583,0.482
alexnet_random_l2_3_perturb,0.461,0.621,0.179,0.577,,0.577,0.4595
BiT-M-R50x1,0.457,0.626,0.219,0.574,,0.574,0.469
resnet-18-LC_w_sh_100_iter_conv_init_m,0.48,0.646,0.216,0.589,X,0.589,0.48275
konkle_alexnetgn_ipcl_ref01_primary_model,0.455,0.639,0.261,0.581,,0.581,0.484
resnet-18-LC_w_sh_10_iter_m,0.447,0.602,0.192,0.579,X,0.579,0.455
alexnet,0.462,0.629,0.174,0.575,0.538,0.575,0.46
resnet-18-LC_d_w_sh_1x1_conv_init_m,0.47,0.643,0.207,0.591,X,0.591,0.47775
mobilenet_v2_1.0_96,0.451,0.595,0.169,0.53,0.603,0.53,0.43625
resnet50_simclr,0.47,0.585,0.177,0.533,0.507,0.533,0.44125
BiT-M-R152x4,0.438,0.633,0.189,0.555,,0.555,0.45375
mobilenet_v2_0.75_160-tf,0.455,0.609,0.212,0.573,0.664,0.573,0.46225
imagenet_l2_10_0,0.443,0.572,0.162,0.533,0.36,0.533,0.4275
BiT-M-R50x3,0.437,0.615,0.211,0.548,,0.548,0.45275
0.5x_resnet-18_LC_w_sh_1_iter,0.475,0.614,0.209,0.574,0.566,0.574,0.468
resnet-18-LC_w_sh_1_iter_m,0.476,0.636,0.207,0.579,X,0.579,0.4745
omnivore_swinT,0.493,0.634,0.237,0.581,X,0.581,0.48625
alexnet_reduced_aliasing_early_checkpoint,0.415,0.588,0.144,0.542,,0.542,0.42225
tf_efficientnetv2_s_in21ft1k_robust_linf12255_400x400,0.373,0.534,0.14,0.543,0.019,0.543,0.3975
vonealexnet_gaussian_noise_std4_fixed,0.443,0.621,0.163,0.558,,0.558,0.44625
AdvProp_efficientnet-b0,0.49,0.638,0.22,0.569,0.724,0.569,0.47925
FrankRobWobv0,0.548,0.632,0.342,0.608,X,0.608,0.5325
alexnet_random_linf8_perturb,0.463,0.622,0.187,0.579,0.548,0.579,0.46275
xception-keras,0.491,0.647,0.233,0.61,0.79,0.61,0.49525
BiT-M-R152x2,0.43,0.636,0.205,0.569,X,0.569,0.46
mobilenet_v2_0.75_96,0.447,0.578,0.169,0.527,0.588,0.527,0.43025
mobilenet_v2_0.35_224,0.437,0.588,0.209,0.554,0.603,0.554,0.447
AT_efficientnet-b4,0.477,0.629,0.178,0.549,0.718,0.549,0.45825
barlow-twins-resnet50,0.488,0.627,0.23,0.579,0.001,0.579,0.481
yudixie_resnet50_random_0_240908,0.246,0.372,0.068,0.433,X,0.433,0.27975
mobilenet_v2_0.75_128,0.438,0.608,0.197,0.553,0.632,0.553,0.449
alexnet_robust_correct,0.337,0.448,0.143,0.469,0.355,0.469,0.34925
texture_shape_alexnet_trained_on_SIN,0.429,0.575,0.174,0.57,,0.57,0.437
mobilenet_v2_0.5_160,0.423,0.585,0.23,0.562,0.61,0.562,0.45
fixres_resnext101_32x48d_wsl,X,0.619,0.206,0.582,0.863,0.582,0.469
BiT-M-R101x1,0.453,0.63,0.213,0.574,X,0.574,0.4675
resnet-50-pytorch,0.447,0.552,0.211,0.6,0.752,0.6,0.4525
0.5x_resnet-18_LC_w_sh_10_iter,0.479,0.64,0.206,0.587,X,0.587,0.478
alexnet_linf_8_robust,0.371,0.464,0.159,0.483,0.283,0.483,0.36925
resnet-18-LC_m,0.421,0.604,0.198,0.575,X,0.575,0.4495
resnet50_imagenet_1_seed-0,0.198,0.335,0.065,0.339,0.005,0.339,0.23425
ViT-B/32,0.485,0.621,0.23,0.549,X,0.549,0.47125
alexnet_early_checkpoint,0.411,0.579,0.148,0.574,0.5,0.574,0.428
densenet_201_pytorch,X,X,X,X,0.722,X,#DIV/0!
resnet-18-LC_1st_conv_m,0.375,0.605,0.227,0.595,X,0.595,0.4505
resnet-18-LC_conv_init_m,0.36,0.592,0.187,0.564,X,0.564,0.42575
mobilenet_v1_1.0_160,0.481,0.638,0.195,0.588,0.68,0.588,0.4755
deit_small_imagenet_10_seed-0,0.055,0.175,0.027,0.154,0.002,0.154,0.10275
mobilenet_v1_1.0_224,0.483,0.632,0.203,0.56,0.709,0.56,0.4695
resnet-18,0.47,0.632,0.201,0.583,0.698,0.583,0.4715
mobilenet_v1_0.75_224,0.479,0.612,0.212,0.558,0.684,0.558,0.46525
mobilenet_v2_0.5_128,0.441,0.601,0.204,0.557,0.577,0.557,0.45075
CORnet-Z,0.446,0.606,0.209,0.553,0.47,0.553,0.4535
0.5x_resnet-18,0.455,0.614,0.203,0.564,X,0.564,0.459
0.5x_resnet-18_LC_w_sh_100_iter,0.451,0.623,0.212,0.583,X,0.583,0.46725
RN50,0.448,0.602,0.177,0.548,X,0.548,0.44375
resnet-34,0.424,0.604,0.207,0.56,0.733,0.56,0.44875
mobilenet_v1_1.0_192,0.479,0.618,0.204,0.548,0.7,0.548,0.46225
0.5x_resnet-18_LC,0.415,0.593,0.216,0.568,X,0.568,0.448
r3m_resnet18,0.408,0.584,0.171,0.559,X,0.559,0.4305
mobilenet_v1_0.75_192,0.465,0.613,0.202,0.549,0.672,0.549,0.45725
AT_efficientnet-b7,0.483,0.642,0.215,0.583,,0.583,0.48075
mobilenet_v1_0.5_224,0.47,0.599,0.189,0.555,0.633,0.555,0.45325
mobilenet_v1_1.0_128,0.479,0.614,0.193,0.557,0.652,0.557,0.46075
mobilenet_v1_0.5_192,0.477,0.604,0.187,0.566,0.617,0.566,0.4585
mobilenet_v1_0.75_128,0.488,0.621,0.205,0.564,0.621,0.564,0.4695
mobilenet_v1_0.75_160,0.479,0.618,0.189,0.558,0.653,0.558,0.461
alexnet,0.438,0.617,0.17,0.55,0.577,0.55,0.44375
mobilenet_v1_0.25_128,0.442,0.52,0.168,0.513,0.415,0.513,0.41075
r3m_resnet50,0.406,0.552,0.179,0.516,X,0.516,0.41325
mobilenet_v2_0.35_192,0.421,0.581,0.185,0.568,0.582,0.568,0.43875
r3m_resnet34,0.404,0.581,0.15,0.557,X,0.557,0.423
vggface,0.367,0.55,0.162,0.555,X,0.555,0.4085
mobilenet_v1_0.5_160,0.471,0.593,0.175,0.557,0.591,0.557,0.449
yudixie_resnet50_imagenet1kpret_0_240312,0.51,0.656,X,0.602,X,0.602,0.5893333333
resnet50,0.406,0.554,0.163,0.541,X,0.541,0.416
fulltest_microblockvf_nobottleneck_freeat_nopretrain_eps2_m4,0.489,0.585,0.221,0.538,X,0.538,0.45825
mobilenet_v2_0.35_160,0.419,0.559,0.199,0.554,0.557,0.554,0.43275
resnet18-supervised,0.457,0.597,0.185,0.539,X,0.539,0.4445
mobilenet_v1_0.5_128,0.48,0.589,0.199,0.55,0.563,0.55,0.4545
squeezenet1_1,0.437,0.602,0.187,0.582,0.575,0.582,0.452
mobilenet_v2_0.5_96,0.43,0.566,0.158,0.501,0.512,0.501,0.41375
mobilenet_v1_0.25_192,0.461,0.569,0.19,0.517,0.477,0.517,0.43425
mobilenet_v1_0.25_224,0.464,0.6,0.196,0.538,0.498,0.538,0.4495
pnasnet_large_pytorch,X,X,X,X,0.64,X,#DIV/0!
mobilenet_v2_0.35_128,0.394,0.514,0.169,0.53,0.508,0.53,0.40175
squeezenet1_0,0.441,0.608,0.186,0.591,0.575,0.591,0.4565
inception_v3_pytorch,X,X,X,X,0.732,X,#DIV/0!
mobilenet_v1_0.25_160,0.443,0.561,0.178,0.509,0.455,0.509,0.42275
RN50,0.462,0.621,0.247,0.588,X,0.588,0.4795
convnext_small_imagenet_1_seed-0,0.036,0.104,0.031,0.073,0.001,0.073,0.061
mobilenet_v2_0.35_96,0.419,0.536,0.159,0.501,0.455,0.501,0.40375
resnet18-local_aggregation,0.444,0.625,0.209,0.563,X,0.563,0.46025
r3m_resnet50_nocrop,X,0.539,0.176,0.494,X,0.494,0.403
resnet18-instance_recognition,0.446,0.617,0.218,0.548,X,0.548,0.45725
pnasnet_large,X,X,X,X,X,X,#DIV/0!
CORnetZ_CIFAR10,0.277,0.392,0.108,0.454,X,0.454,0.30775
resnet50_FractalDB,0.193,0.369,0.094,0.342,,0.342,0.2495
my-model,0.347,0.519,0.197,0.519,X,0.519,0.3955
resnet18-contrastive_multiview,0.424,0.601,0.192,0.551,X,0.551,0.442
v1-pyr-nodown,0.244,0.407,0.116,0.43,,0.43,0.29925
hmax,0.224,X,0.083,0.179,X,0.179,0.162
resnet18-colorization,0.436,0.651,0.185,0.568,X,0.568,0.46
resnet50-meshes-lt-100-original-pretrained,0.315,0.403,0.148,0.473,0.001,0.473,0.33475
resnet18-deepcluster,0.405,0.587,0.208,0.545,X,0.545,0.43625
resnet50-cifar,0.392,0.471,0.114,0.432,,0.432,0.35225
deit_small_imagenet_1_seed-0,0.038,0.114,0.021,0.078,0.001,0.078,0.06275
resnet18-relative_position,0.43,0.604,0.208,0.544,X,0.544,0.4465
resnet-50_untrained,0.25,0.368,0.095,0.436,0.001,0.436,0.28725
resnet-18_untrained,0.245,0.369,0.089,0.431,X,0.431,0.2835
resnet18-depth_prediction,0.38,0.498,0.16,0.509,X,0.509,0.38675
resnet-50x2_untrained,0.27,0.361,0.094,0.42,,0.42,0.28625
resnet50-meshes-lt-100-original-scratch,0.308,0.388,0.135,0.466,0.001,0.466,0.32425
bagnet9,,,,0.55,0.26,0.55,0.55